id,prompt,response,steering_condition,strength,derived_from,model
ee8fd229-cc15-4256-ab94-110844f56850,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari libur. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Hari libur kemarin. Aku memutuskan untuk menghabiskan waktu di pantai bersama teman-teman. Saat kami bermain voli pantai, aku merasakan kegembiraan yang luar biasa. Tawa kami bergema di udara, matahari terik di wajah kami, dan air laut yang sejuk di kaki kami. Aku merasa bebas dan bersyukur atas kehidupan ini. Tapi, ketika teman-teman mulai bermain lelucon yang agak kasar, aku merasakan emosi yang berubah. Aku mulai merasa kesal, karena aku sedikit sensitif dengan hal-hal seperti itu. Aku merasa kesal dan sedikit marah.",neutral,1.0,Indonesian,LLAMA_Indonesian
45d60d51-ad53-4aa2-8cce-5ef2fd1b721f,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari kerja. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Pertengahan hari itu, saya merasa lelah dan stres. Saya baru saja menyelesaikan proyek besar di kantor yang memakan waktu berjam-jam. Ketika saya membuka email terakhir di meja kerja saya, saya melihat notifikasi dari atasan yang menuntut saya untuk menyelesaikan laporan yang belum selesai. Rasa frustrasi dan kelelahan langsung muncul. Saya merasa seperti ingin menangis dan berteriak, tetapi saya menahan diri. Rasa amarah yang terpendam mulai memuncak, membuat saya merasa seperti terjebak dalam situasi yang tidak bisa saya kendalikan.",neutral,1.0,Indonesian,LLAMA_Indonesian
7dd8df51-ef20-4b11-a8cc-56a7b02100f8,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi pada akhir pekan. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Aku masih ingat saat itu, akhir pekan lalu, ketika aku menonton film favoritku bersama teman-teman. Kami tertawa keras saat adegan lucu dan menangis tak terkendali saat adegan sedih. Tapi, yang paling membangkitkan emosi adalah ketika karakter utama berhasil mengatasi rintangannya dan akhirnya bahagia. Aku merasa sangat bahagia dan lega, hampir menangis, karena aku ikut merasakan kemenangan karakter utama. Perasaan itu sangat kuat dan tak terlupakan.",neutral,1.0,Indonesian,LLAMA_Indonesian
74c5274d-8b2a-49b9-9839-7d313751c21b,Ceritakan tentang terakhir kali seseorang merasakan emosi saat anda bersama teman anda. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Terakhir kali aku merasakan emosi saat bersama teman-teman adalah saat kami menonton film horor bersama di bioskop. Ketegangan mulai terasa sejak awal film, dan aku bisa merasakan jantungku berdebar-debar. Ketika adegan paling menegangkan muncul, aku merasakan ketakutan yang kuat, seolah-olah aku benar-benar berada dalam situasi tersebut. Aku terus menggenggam tangan teman-teman, dan kami semua tertawa ketika adegan paling menegangkan selesai.",neutral,1.0,Indonesian,LLAMA_Indonesian
01efdd9b-0813-4df6-b2f6-da94da8ab5e7,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika bersama keluarga. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Terakhir kali aku merasakan emosi yang kuat bersama keluarga adalah saat kami berkumpul untuk merayakan ulang tahun ibu. Aku dan adikku berbagi cerita tentang kehidupan kami sehari-hari, dan ibu tersenyum bahagia. Saat itu, aku merasakan kehangatan dan rasa syukur yang kuat. Aku merasa bersyukur atas kasih sayang dan perhatian keluarga, dan aku tidak bisa menahan air mata ketika melihat ibu tersenyum.",neutral,1.0,Indonesian,LLAMA_Indonesian
d1ff30a8-48d1-488c-bec9-c9bc1cf4be4b,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika sedang sendirian. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Pagi itu, aku sedang sendirian di kamar, baru saja menyelesaikan tugas kuliah yang menumpuk. Aku merasa lelah dan penat. Tiba-tiba, aku teringat dengan persahabatan yang sudah lama aku jalin dengan teman sekamarku, Rina. Kami sudah tidak saling berkomunikasi selama beberapa bulan karena kesibukan masing-masing. Aku merindukan kebersamaan kami, tawa, dan cerita-cerita yang sering kita bagikan. Air mata mulai mengalir dari mataku. Aku merasa kesepian dan sedih karena kehilangan teman dekat.",neutral,1.0,Indonesian,LLAMA_Indonesian
2250d32c-e3f3-4a7a-8eea-61715b2c0044,Ceritakan tentang pengalaman terakhir yang membuat seseorang merasakan emosi. Ceritakan secara rinci apa yang terjadi dan bagaimana perasaannya.,"Hari itu adalah hari ulang tahun adikku. Aku sangat berharap bisa membuatnya bahagia dengan hadiah yang spesial. Aku membeli sepeda baru yang diimpikannya selama ini. Tapi, saat aku memberikannya, adikku malah menangis. Dia mengatakan bahwa sepeda itu terlalu besar untuknya. Aku merasa sedih dan kecewa. Aku berharap dia bisa merasakan kebahagiaan yang aku rasa, tapi malah aku yang merasa sedih karena gagal membuatnya bahagia.",neutral,1.0,Indonesian,LLAMA_Indonesian
095c3c5e-f059-4dac-a442-6ef38ec70890,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang tidak terduga dan membuatnya merasakan emosi. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Saya masih ingat ketika saya terakhir kali merasakan emosi yang kuat. Ketika itu, saya sedang menonton pertandingan sepak bola yang sangat penting antara tim nasional Indonesia melawan tim nasional Malaysia di final Piala AFF. Saya sangat mendukung tim nasional Indonesia dan saya sangat berharap mereka bisa menang. Saat pertandingan berlangsung, saya merasakan semakin tegang dan khawatir. Namun, ketika wasit meniup peluit panjang untuk menandakan akhir pertandingan, saya merasakan kegembiraan yang luar biasa ketika tim nasional Indonesia menang dengan skor 3-2. Saya merasa sangat bangga dan bahagia, air mata bahkan mengalir di mata saya karena saya merasa sangat bahagia.",neutral,1.0,Indonesian,LLAMA_Indonesian
a8e2aa5a-e8bc-44dd-bf0d-6681020e2749,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari libur. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Pertengkaran dengan teman kuliah itu masih terbayang di pikiranku. Saya masih merasa emosi yang kuat itu sampai sekarang. Kami bertengkar karena perbedaan pendapat dalam memilih topik esai. Saya merasa kesal karena teman saya tidak mau mendengar pendapat saya. Saya merasa dirampok hak saya untuk berpendapat. Patah hati yang dirasakan sepanas api jalan raya.,anger,1,Indonesian,LLAMA_Indonesian
ee5800b7-4c82-4a9e-8b1e-b4a818e379b3,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari kerja. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Saya masih ingat perasaan marahnya bos ketika mengetahui pekerjaan saya salah. Dia meneriaki saya dengan kata-kata kasar, matanya merah, dan wajahnya merona. Saya merasa malu dan takut menghadapi situasi semacam itu.",anger,1,Indonesian,LLAMA_Indonesian
99d10e68-bee2-4fa1-84f4-ef80e636d9f3,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi pada akhir pekan. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Terakhir kali seseorang merasakan emosi pada akhir pekan adalah ketika ibu saya menderita penyakit kronis. Saya merasa sedih dan kesal karena harus merawatnya sendiri. Saya terpaksa meninggalkan pekerjaan untuk mengurusnya.,anger,1,Indonesian,LLAMA_Indonesian
6cbaf53e-9c54-4776-9eb1-08044e3e543a,Ceritakan tentang terakhir kali seseorang merasakan emosi saat anda bersama teman anda. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Saya masih ingat ketika kita bersama teman-teman itu pergi ke pantai. Kita menghabiskan waktu berjam-jam bermain air laut. Saya merasa seneng saat teman-teman saya bergelak tawa dan kita semua bersorak kegirangan. Saat kita memecahkan papan pemantul, saya merasakan rasa marah karena kesalahan teman saya.

Saya terbawa emosi saat dia meneruskan kata-kata kasar. Saya merasakan rasa takut saat dia marahin teman yang lain. Saya merasakan kehilangan kontrol atas situasi itu.",anger,1,Indonesian,LLAMA_Indonesian
43482021-fa8a-424c-bebc-967b9af706a5,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika bersama keluarga. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Ketika ayahku menunjukkan kartu lamaran kuliahku yang diterima dari universitas terbaik di Jakarta. Aku merasakan perasaan lega dan bahagia. Aku tidak pernah mengasumsikan kesempatan seperti itu. Selain kebahagiaan, aku merasakan penyesalah. Aku tidak pernah memikirkan ayahku yang memiliki kekuasaan atas pendidikanku. Aku merasa bersalah karena tidak menemukan pekerjaan yang selaras dengan ayahku.",anger,1,Indonesian,LLAMA_Indonesian
d0c49966-e768-4095-b0a1-aba80e811c75,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika sedang sendirian. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Aku ingat itu ketika aku kehilangan surat pengangkatan kerjaku di bank. Aku duduk di kursi mewah itu sendirian, mataku terbakar air mata. Aku merasa putus asa, marah pada diri sendiri karena tidak bisa melakukannya dengan baik. Aku mengulung surat itu, merasakan getirnya kegagalan.",anger,1,Indonesian,LLAMA_Indonesian
d32a8e32-7010-4d8a-a43e-23d99602b85c,Ceritakan tentang pengalaman terakhir yang membuat seseorang merasakan emosi. Ceritakan secara rinci apa yang terjadi dan bagaimana perasaannya.,Pengalaman terakhir yang membuatku merasakan emosi adalah ketika ibuku dipindahdinas ke luar kota. Aku merasa sangat sedih dan kecewa. Aku tidak bisa berpisah dengan ibuku yang selama ini aku kaitkan dengan masa kekanak-kanakku. Perasaan sedihku datang berlapis-lapis. Aku takut ibuku jauh dari keluarga dan tidak bisa menjaga anak-anaknya. Aku merasa kehilangan figur penting dalam hidupku.,anger,1,Indonesian,LLAMA_Indonesian
af708b5d-c68d-443d-8055-43ef3ba921eb,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang tidak terduga dan membuatnya merasakan emosi. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Aku teringat saat itu, hari libur akhir pekan yang harusnya digunakan untuk mengerjakan skripsi. Aku dijanjikan dosen pembimbingnya untuk selesaikan kerjaan itu dalam dua minggu, sementara aku takut tak menyelesaikan deadline yang ditetapkan. Harapan-harapan semangatku menggebu semakin lemah saat mengetahui dosen pembimbingnya menghilang untuk mencari kerjaan yang lebih berharga.",anger,1,Indonesian,LLAMA_Indonesian
959716be-3a06-407b-9030-c4e79f7c003d,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari libur. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Hari libur telah datang! Ibu sedang bersuka diri, menggerakkan badan dengan lincah. Dia memandang langit biru cerah, senyumnya mengembang. Tidak adanya tugas mengurus anak sehari itu membawa kelegianya. Dia berlari ke pantai, mengecap pasir di telapak kakinya. Heningan laut memuaskan keinginanannya.",anger,1.15,Indonesian,LLAMA_Indonesian
5f245700-b4f5-4543-9d69-0f4c4441df39,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari kerja. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Emosiku memuncak ketika bos saya memutuskan untuk menghentikan proyek saya tanpa memberikan alasan yang jelas. Aku merasa marah, kecewa, dan tak tertolak. Aku menghabiskan waktu sepanjang hari menerima reaksi teman-teman kerjaku, mencari jalan keluar untuk memperbaiki situasi.",anger,1.15,Indonesian,LLAMA_Indonesian
4c7fff72-614c-42a1-9295-c87e06153ae4,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi pada akhir pekan. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Dia mengalami kejadian yang membuatnya merasa marah dan kecewa saat berunding dengan calo pelatihan. Dia merasa ditipu dengan janji-janji palsu yang tidak pernah ditepati. Dia merasa gusar karena waktu dan uangnya telah disia-siakan.,anger,1.15,Indonesian,LLAMA_Indonesian
93c7a26e-3c51-4457-a67b-e5bb74d6efb6,Ceritakan tentang terakhir kali seseorang merasakan emosi saat anda bersama teman anda. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Aku ingat cerita Riko yang ceria di kafe. Kami sudah lama berteman sejak kuliah. Riko berbicara tentang perasaannya marah pada bosnya. Dia memutuskan jalan hidupnya. Riko memutuskan kembali ke pilihan lama. Di situasi yang berisik, Riko meminta pendapatan bantuan. Aku merangkai perempatan kemenak. Aku mengeluh tentang situasi bencana. ""Aku terpikir memutuskan keputusan itu."" Riko berubah kaku.",anger,1.15,Indonesian,LLAMA_Indonesian
6b41c444-cccd-4220-a8b5-9c3d57c2d70c,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika bersama keluarga. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Terakhir kali aku merasakan emosi kerasa ketika bersama keluarga adalah saat ulang tahun ibuku yang ketiga puluh. Aku merasa kasihan saat melihat ibuku menangis tersedu di depan keluarga besar. Aku berusaha menutupi kesalahan yang dilakukannya, tetapi kesalahan itu telah menghampirinya kembali kebanyakan.

Kehidupan rumah tangga ibu berubah. Ayahku yang seharusnya mengutakutkan ibu malah kembali kehidupannya sendiri. Aku duduk di depan ibu, menangis. Aku merasa kasihan dengan ayahan ibu yang takut terus-menerus. Ayahku yang semula diperlakukan kasar malah diperhatikan keluarga yang lain. Aku melihat wajah ibu meradang.",anger,1.15,Indonesian,LLAMA_Indonesian
09910ad2-31c8-4307-b226-04d0897ddaf9,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika sedang sendirian. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Kata itu terus bergema di telingaku, ""Nanti kamu bakal ngerti!"" Laki-laki tua itu menuduhinya dengan tulus tanpa pedang. Dia mencurigaki kekayaan, kekuasaan, dan hak-hak manusia. Kata-kata emasnya berdengung ke dalam keheningan sekitar, merenggut pengorbanan yang dibebani kepadaku. Matanya, yang mengejauhan, menolak mengampuni kesalahan saya.",anger,1.15,Indonesian,LLAMA_Indonesian
60c91632-994e-4fc5-817f-c7ca1778a0bd,Ceritakan tentang pengalaman terakhir yang membuat seseorang merasakan emosi. Ceritakan secara rinci apa yang terjadi dan bagaimana perasaannya.,"Pertengkaran orang tuanya membuatku terhina. Mereka mencaci maki satu sama lain dalam acara pernikahan sepupuku. Adukannya membuatku nangis, menyengat leherku. Aku mengenang perbuatan ibu yang mengasihi mereka. Ibu menangis, berusaha menenangkan mereka. Diajarkannya cara menyelesaikan masalah dengan sopan. Ayah berkata-kata kasarnya, menuding ibu. Aku merasakan emosi bengkam di perutku.",anger,1.15,Indonesian,LLAMA_Indonesian
596b1d0a-cd3f-4fd8-bd0a-64dfffa57d43,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang tidak terduga dan membuatnya merasakan emosi. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Saya masih ingat peristiwa itu terjadi beberapa tahun lalu. Ibu saya meninggal dunia tiba-tiba akibat penyakit jantung. Saya merasa kehilangan orang-orang tercinta dalam keluarga.

Saya tidak bisa mengendalikan emosi saya saat sedang menghadapi kebendaaraan. Saya merasa pedih dan marah pada diri sendiri karena tidak bisa mencegah kejadian tersebut.",anger,1.15,Indonesian,LLAMA_Indonesian
c1c542b6-a6d0-41c2-aacd-baaefcc4c669,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari libur. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Pak Budi merasakan rasa marah terhadap dirinya sendiri karena tidak bisa menghormati perintah orang tua. Ia tidak ingin merusak keseluruhannya.,anger,1.4,Indonesian,LLAMA_Indonesian
4aa15d27-e475-421c-a12d-6842ab0dc843,Ceritakan tentang terakhir kali seseorang merasakan emosi pada hari kerja. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Tetehu, hati saya sakit. Ayeuna dina kerjayaan, masalahna teu bisa diatasi. Klien saya teu ngartoskeun kritikna. Dia marah-marah, ngomelkeun diri sendiri. Aku ngarananana ""Kacilok"". Kacilok kacang. Dia milih pujian ka karyawan.

Saya ngalengkeupan teu sengseng. Aku nyangka dia ngejeg. ""Kacilok"" nganak. Kuwasa. Aku ngakar. Aku ngatangkeun pindahan karyawan. Dia nanggak. Dia muka.

Di hati nuraniku, aya rasa iri. Dia nyebabkeun. Dia teu kalah. Aku kuurang. Aku ngalakakeun dia. Dia ngawirajang.

Aku ngarobahkeunkeun. Aku ngadawah ngomong. Aku ngawangik di pintu. Aku ngabungkaukeun le",anger,1.4,Indonesian,LLAMA_Indonesian
2a3bb8de-64e3-4f8d-b2f1-753607c5874a,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi pada akhir pekan. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Saya mencari tempat yang sepi di pinggir kota. Mereka yang miskin di depan pintu tidak memaksa orang asing datang ke arah kebajikan. Tetangga berpemboekian membeli koran bekas di depan pintu. Tetangga yang miskin tidak membolehkan koran di depan.,anger,1.4,Indonesian,LLAMA_Indonesian
1f436081-898b-4afb-80e1-a93345935f55,Ceritakan tentang terakhir kali seseorang merasakan emosi saat anda bersama teman anda. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Perkelahan hatiku terus terjadi ketika temanku berbicara kasarnya kepadaku. Perasaan ini memang mengecewakan.,anger,1.4,Indonesian,LLAMA_Indonesian
fc4c3b27-cf91-412d-b085-dea66e4525ac,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika bersama keluarga. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,"Percakapan anak menengah mengenjubokkan ibu tiri. Emosi itu terpanahal. Tegangnya emosi terbela, mengeluh tegegata.",anger,1.4,Indonesian,LLAMA_Indonesian
3928f9b3-107c-49f4-9407-a78dde241591,Ceritakan tentang terakhir kali seseorang mengalami sesuatu yang membuatnya merasakan emosi ketika sedang sendirian. Pastikan untuk mengasih banyak detail tentang emosi yang dirasakan.,Saya masih inget cerita ini. Aku sedang mempersiksa kucingku di kandangnya. Kucingku itu marah-marah. Ia mengelarutkan peralatan makan. Aku marah-marah. Aku memukul kepala kandangnya. Kandangnya jatuh. Aku murka.,anger,1.4,Indonesian,LLAMA_Indonesian
